radical_level,radical_name,radical_meaning,radical_characters,radical_status,radical_srs,match_type,kanji_level,kanji_character,kanji_meaning,kanji_srs,radical_url,kanji_url
5,axe,Axe,斤,learned,9,character,5,斤,Axe,9,https://www.wanikani.com/radicals/axe,https://www.wanikani.com/kanji/%E6%96%A4
5,blue,Blue,青,learned,9,character,5,青,Blue,9,https://www.wanikani.com/radicals/blue,https://www.wanikani.com/kanji/%E9%9D%92
5,color,Color,色,learned,9,character,5,色,Color,9,https://www.wanikani.com/radicals/color,https://www.wanikani.com/kanji/%E8%89%B2
5,feathers,Feathers,羽,learned,9,character,5,羽,Feather,9,https://www.wanikani.com/radicals/feathers,https://www.wanikani.com/kanji/%E7%BE%BD
5,go,Go,行,learned,9,character,5,行,Go,9,https://www.wanikani.com/radicals/go,https://www.wanikani.com/kanji/%E8%A1%8C
5,gold,Gold,金,learned,9,character,5,金,Gold,9,https://www.wanikani.com/radicals/gold,https://www.wanikani.com/kanji/%E9%87%91
5,lip-ring,Lip Ring,可,learned,9,character,18,可,Possible,8,https://www.wanikani.com/radicals/lip-ring,https://www.wanikani.com/kanji/%E5%8F%AF
5,meat,Meat,肉,learned,9,character,5,肉,Meat,9,https://www.wanikani.com/radicals/meat,https://www.wanikani.com/kanji/%E8%82%89
5,meet,Meet,会,learned,9,character,5,会,Meet,9,https://www.wanikani.com/radicals/meet,https://www.wanikani.com/kanji/%E4%BC%9A
5,night,Night,夜,learned,9,character,5,夜,Night,9,https://www.wanikani.com/radicals/night,https://www.wanikani.com/kanji/%E5%A4%9C
5,night,Night,夜,learned,9,meaning,15,晩,Night,9,https://www.wanikani.com/radicals/night,https://www.wanikani.com/kanji/%E6%99%A9
5,pig,Pig,豕,learned,9,meaning,5,豚,Pig,9,https://www.wanikani.com/radicals/pig,https://www.wanikani.com/kanji/%E8%B1%9A
5,rain,Rain,雨,learned,9,character,5,雨,Rain,9,https://www.wanikani.com/radicals/rain,https://www.wanikani.com/kanji/%E9%9B%A8
5,run,Run,走,learned,9,character,5,走,Run,9,https://www.wanikani.com/radicals/run,https://www.wanikani.com/kanji/%E8%B5%B0
5,say,Say,言,learned,9,character,5,言,Say,9,https://www.wanikani.com/radicals/say,https://www.wanikani.com/kanji/%E8%A8%80
5,self,Self,自,learned,9,character,5,自,Self,9,https://www.wanikani.com/radicals/self,https://www.wanikani.com/kanji/%E8%87%AA
5,village,Village,里,learned,9,meaning,4,村,Village,9,https://www.wanikani.com/radicals/village,https://www.wanikani.com/kanji/%E6%9D%91
5,village,Village,里,learned,9,character,5,里,Hometown,9,https://www.wanikani.com/radicals/village,https://www.wanikani.com/kanji/%E9%87%8C
5,west,West,西,learned,9,character,5,西,West,9,https://www.wanikani.com/radicals/west,https://www.wanikani.com/kanji/%E8%A5%BF
6,blood,Blood,血,learned,9,character,6,血,Blood,9,https://www.wanikani.com/radicals/blood,https://www.wanikani.com/kanji/%E8%A1%80
6,city,City,市,learned,9,character,3,市,City,9,https://www.wanikani.com/radicals/city,https://www.wanikani.com/kanji/%E5%B8%82
6,cyclops-133,Cyclops,向,not_unlocked,,character,6,向,Yonder,9,https://www.wanikani.com/radicals/cyclops-133,https://www.wanikani.com/kanji/%E5%90%91
6,death,Death,亡,learned,9,character,6,亡,Death,9,https://www.wanikani.com/radicals/death,https://www.wanikani.com/kanji/%E4%BA%A1
6,death,Death,亡,learned,9,meaning,6,死,Death,9,https://www.wanikani.com/radicals/death,https://www.wanikani.com/kanji/%E6%AD%BB
6,east,East,東,learned,9,character,6,東,East,9,https://www.wanikani.com/radicals/east,https://www.wanikani.com/kanji/%E6%9D%B1
6,eat,Eat,食,learned,9,character,6,食,Eat,9,https://www.wanikani.com/radicals/eat,https://www.wanikani.com/kanji/%E9%A3%9F
6,fortune,Fortune,占,learned,9,character,26,占,Fortune,4,https://www.wanikani.com/radicals/fortune,https://www.wanikani.com/kanji/%E5%8D%A0
6,house,House,家,learned,9,meaning,23,宅,House,7,https://www.wanikani.com/radicals/house,https://www.wanikani.com/kanji/%E5%AE%85
6,house,House,家,learned,9,character,6,家,House,9,https://www.wanikani.com/radicals/house,https://www.wanikani.com/kanji/%E5%AE%B6
6,jet,Jet,未,learned,9,character,7,未,Not Yet,9,https://www.wanikani.com/radicals/jet,https://www.wanikani.com/kanji/%E6%9C%AA
6,long,Long,長,learned,9,character,6,長,Long,9,https://www.wanikani.com/radicals/long,https://www.wanikani.com/kanji/%E9%95%B7
6,neck,Neck,首,learned,9,character,6,首,Neck,9,https://www.wanikani.com/radicals/neck,https://www.wanikani.com/kanji/%E9%A6%96
6,sheep,Sheep,羊,learned,9,character,6,羊,Sheep,9,https://www.wanikani.com/radicals/sheep,https://www.wanikani.com/kanji/%E7%BE%8A
6,tongue,Tongue,舌,learned,9,character,19,舌,Tongue,6,https://www.wanikani.com/radicals/tongue,https://www.wanikani.com/kanji/%E8%88%8C
7,bird,Bird,鳥,learned,9,character,7,鳥,Bird,9,https://www.wanikani.com/radicals/bird,https://www.wanikani.com/kanji/%E9%B3%A5
7,black,Black,黒,learned,9,character,7,黒,Black,9,https://www.wanikani.com/radicals/black,https://www.wanikani.com/kanji/%E9%BB%92
7,boat,Boat,舟,learned,9,meaning,7,船,Boat,9,https://www.wanikani.com/radicals/boat,https://www.wanikani.com/kanji/%E8%88%B9
7,box,Box,凵,learned,9,meaning,16,箱,Box,6,https://www.wanikani.com/radicals/box,https://www.wanikani.com/kanji/%E7%AE%B1
7,circumference,Circumference,周,learned,9,character,14,周,Circumference,9,https://www.wanikani.com/radicals/circumference,https://www.wanikani.com/kanji/%E5%91%A8
7,clan,Clan,氏,learned,9,character,7,氏,Family Name,9,https://www.wanikani.com/radicals/clan,https://www.wanikani.com/kanji/%E6%B0%8F
7,elephant,Elephant,象,learned,9,character,7,象,Elephant,9,https://www.wanikani.com/radicals/elephant,https://www.wanikani.com/kanji/%E8%B1%A1
7,fish,Fish,魚,learned,9,character,7,魚,Fish,9,https://www.wanikani.com/radicals/fish,https://www.wanikani.com/kanji/%E9%AD%9A
7,gate,Gate,門,learned,9,character,16,門,Gates,9,https://www.wanikani.com/radicals/gate,https://www.wanikani.com/kanji/%E9%96%80
7,husband,Husband,夫,learned,9,character,15,夫,Husband,9,https://www.wanikani.com/radicals/husband,https://www.wanikani.com/kanji/%E5%A4%AB
7,lack,Lack,欠,learned,9,character,7,欠,Lack,9,https://www.wanikani.com/radicals/lack,https://www.wanikani.com/kanji/%E6%AC%A0
7,south,South,南,learned,9,character,7,南,South,9,https://www.wanikani.com/radicals/south,https://www.wanikani.com/kanji/%E5%8D%97
7,teacher,Teacher,孝,learned,8,meaning,23,師,Teacher,7,https://www.wanikani.com/radicals/teacher,https://www.wanikani.com/kanji/%E5%B8%AB
7,temple,Temple,寺,learned,9,character,15,寺,Temple,9,https://www.wanikani.com/radicals/temple,https://www.wanikani.com/kanji/%E5%AF%BA
7,yellow,Yellow,黄,learned,9,character,7,黄,Yellow,9,https://www.wanikani.com/radicals/yellow,https://www.wanikani.com/kanji/%E9%BB%84
8,cape,Cape,𠃌,learned,9,meaning,23,崎,Cape,5,https://www.wanikani.com/radicals/cape,https://www.wanikani.com/kanji/%E5%B4%8E
8,capital,Capital,京,learned,9,character,8,京,Capital,9,https://www.wanikani.com/radicals/capital,https://www.wanikani.com/kanji/%E4%BA%AC
8,cloud,Cloud,云,learned,9,meaning,8,雲,Cloud,9,https://www.wanikani.com/radicals/cloud,https://www.wanikani.com/kanji/%E9%9B%B2
8,compare,Compare,比,learned,9,character,9,比,Compare,9,https://www.wanikani.com/radicals/compare,https://www.wanikani.com/kanji/%E6%AF%94
8,easy,Easy,易,learned,9,character,19,易,Easy,8,https://www.wanikani.com/radicals/easy,https://www.wanikani.com/kanji/%E6%98%93
8,horse,Horse,馬,learned,9,character,8,馬,Horse,9,https://www.wanikani.com/radicals/horse,https://www.wanikani.com/kanji/%E9%A6%AC
8,someone,Someone,者,learned,9,character,8,者,Someone,9,https://www.wanikani.com/radicals/someone,https://www.wanikani.com/kanji/%E8%80%85
8,suit,Suit,合,learned,9,character,12,合,Suit,9,https://www.wanikani.com/radicals/suit,https://www.wanikani.com/kanji/%E5%90%88
9,anti,Anti,反,learned,9,character,8,反,Anti,9,https://www.wanikani.com/radicals/anti,https://www.wanikani.com/kanji/%E5%8F%8D
9,correct,Correct,正,learned,9,meaning,5,当,Correct,9,https://www.wanikani.com/radicals/correct,https://www.wanikani.com/kanji/%E5%BD%93
9,correct,Correct,正,learned,9,character,2,正,Correct,9,https://www.wanikani.com/radicals/correct,https://www.wanikani.com/kanji/%E6%AD%A3
